"Date","symbol","buy_and_hold","sma20_50","rsi_mean_reversion"
"2021-12-24","ETHUSDT","133985.430463576","260395.977287367","5727.96056500923"
"2021-12-25","ETHUSDT","135590.397350994","260395.977287367","5727.96056500923"
"2021-12-26","ETHUSDT","134554.966887418","260395.977287367","5727.96056500923"
"2021-12-27","ETHUSDT","133683.112582782","260395.977287367","5727.96056500923"
"2021-12-28","ETHUSDT","125587.748344371","260395.977287367","5727.96056500923"
"2021-12-29","ETHUSDT","120204.966887418","260395.977287367","5727.96056500923"
"2021-12-30","ETHUSDT","122823.509933775","260395.977287367","5727.96056500923"
"2021-12-31","ETHUSDT","121729.470198676","260395.977287367","5727.96056500923"
"2022-01-01","ETHUSDT","124686.754966888","260395.977287367","5727.96056500923"
"2022-01-02","ETHUSDT","126763.907284769","260395.977287367","5727.96056500923"
"2022-01-03","ETHUSDT","124698.344370861","260395.977287367","5727.96056500923"
"2022-01-04","ETHUSDT","125334.768211921","260395.977287367","5727.96056500923"
"2022-01-05","ETHUSDT","117239.40397351","260395.977287367","5727.96056500923"
"2022-01-06","ETHUSDT","112808.278145696","260395.977287367","5727.96056500923"
"2022-01-07","ETHUSDT","105935.099337749","260395.977287367","5727.96056500923"
"2022-01-08","ETHUSDT","102018.21192053","260395.977287367","5513.3086428296"
"2022-01-09","ETHUSDT","104369.867549669","260395.977287367","5640.39774840216"
"2022-01-10","ETHUSDT","102075.496688742","260395.977287367","5516.40444897774"
"2022-01-11","ETHUSDT","107275.496688742","260395.977287367","5797.42490996216"
"2022-01-12","ETHUSDT","111631.125827815","260395.977287367","6032.81354621975"
"2022-01-13","ETHUSDT","107304.966887418","260395.977287367","5799.01755011929"
"2022-01-14","ETHUSDT","109517.218543047","260395.977287367","5918.57293090361"
"2022-01-15","ETHUSDT","110133.774834437","260395.977287367","5951.89311037082"
"2022-01-16","ETHUSDT","110823.841059603","260395.977287367","5989.18594281424"
"2022-01-17","ETHUSDT","106280.463576159","260395.977287367","5743.65093611739"
"2022-01-18","ETHUSDT","104630.794701987","260395.977287367","5654.49887698441"
"2022-01-19","ETHUSDT","102119.867549669","260395.977287367","5518.80235663005"
"2022-01-20","ETHUSDT","99386.7549668877","260395.977287367","5371.0984031809"
"2022-01-21","ETHUSDT","85038.0794701989","260395.977287367","4595.66159498948"
"2022-01-22","ETHUSDT","79873.509933775","260395.977287367","4316.55588116026"
"2022-01-23","ETHUSDT","84073.1788079472","260395.977287367","4543.5160509683"
"2022-01-24","ETHUSDT","80771.1920529803","260395.977287367","4365.06877403652"
"2022-01-25","ETHUSDT","81418.21192053","260395.977287367","4400.03527816054"
"2022-01-26","ETHUSDT","81555.9602649008","260395.977287367","4407.47952878264"
"2022-01-27","ETHUSDT","80273.1788079472","260395.977287367","4338.1549448643"
"2022-01-28","ETHUSDT","84271.1920529803","260395.977287367","4554.21716123757"
"2022-01-29","ETHUSDT","86140.0662251657","260395.977287367","4655.21559996631"
"2022-01-30","ETHUSDT","86148.3443708611","260395.977287367","4655.66297079697"
"2022-01-31","ETHUSDT","88971.5231788082","260395.977287367","4808.23431888365"
"2022-02-01","ETHUSDT","92292.3841059605","260395.977287367","4987.70160130932"
"2022-02-02","ETHUSDT","88763.9072847684","260395.977287367","4797.01425845081"
"2022-02-03","ETHUSDT","89253.6423841062","260395.977287367","4823.48071679238"
"2022-02-04","ETHUSDT","99171.854304636","260395.977287367","5359.48465641709"
"2022-02-05","ETHUSDT","99756.6225165565","260395.977287367","5391.08693189458"
"2022-02-06","ETHUSDT","101158.609271523","260395.977287367","5466.85365577436"
"2022-02-07","ETHUSDT","103965.894039735","260395.977287367","5464.12022894647"
"2022-02-08","ETHUSDT","103201.655629139","260395.977287367","5464.12022894647"
"2022-02-09","ETHUSDT","107415.23178808","260395.977287367","5464.12022894647"
"2022-02-10","ETHUSDT","101738.079470199","260395.977287367","5464.12022894647"
"2022-02-11","ETHUSDT","96938.4105960267","260395.977287367","5464.12022894647"
"2022-02-12","ETHUSDT","96651.6556291393","260395.977287367","5464.12022894647"
"2022-02-13","ETHUSDT","95070.5298013247","260395.977287367","5464.12022894647"
"2022-02-14","ETHUSDT","97011.5894039737","260395.977287367","5464.12022894647"
"2022-02-15","ETHUSDT","105414.569536424","260395.977287367","5464.12022894647"
"2022-02-16","ETHUSDT","103387.417218543","260395.977287367","5464.12022894647"
"2022-02-17","ETHUSDT","95757.2847682121","260395.977287367","5464.12022894647"
"2022-02-18","ETHUSDT","92035.7615894042","260395.977287367","5464.12022894647"
"2022-02-19","ETHUSDT","91510.9271523181","260395.977287367","5464.12022894647"
"2022-02-20","ETHUSDT","86820.8609271525","260395.977287367","5464.12022894647"
"2022-02-21","ETHUSDT","85033.7748344373","260395.977287367","5464.12022894647"
"2022-02-22","ETHUSDT","87294.3708609273","260395.977287367","5464.12022894647"
"2022-02-23","ETHUSDT","85420.8609271525","260395.977287367","5464.12022894647"
"2022-02-24","ETHUSDT","85966.8874172187","260395.977287367","5464.12022894647"
"2022-02-25","ETHUSDT","91671.8543046359","260395.977287367","5464.12022894647"
"2022-02-26","ETHUSDT","92035.4304635763","260395.977287367","5464.12022894647"
"2022-02-27","ETHUSDT","86648.6754966889","260395.977287367","5464.12022894647"
"2022-02-28","ETHUSDT","96720.1986754968","260395.977287367","5464.12022894647"
"2022-03-01","ETHUSDT","98553.9735099339","260395.977287367","5464.12022894647"
"2022-03-02","ETHUSDT","97592.7152317882","260395.977287367","5464.12022894647"
"2022-03-03","ETHUSDT","93840.7284768213","260395.977287367","5464.12022894647"
"2022-03-04","ETHUSDT","86824.5033112584","260395.977287367","5464.12022894647"
"2022-03-05","ETHUSDT","88250.0000000001","260395.977287367","5464.12022894647"
"2022-03-06","ETHUSDT","84479.8013245034","260395.977287367","5464.12022894647"
"2022-03-07","ETHUSDT","82487.4172185432","260395.977287367","5464.12022894647"
"2022-03-08","ETHUSDT","85297.0198675498","260395.977287367","5464.12022894647"
"2022-03-09","ETHUSDT","90297.3509933776","260395.977287367","5464.12022894647"
"2022-03-10","ETHUSDT","86314.5695364239","260395.977287367","5464.12022894647"
"2022-03-11","ETHUSDT","84664.2384105961","260395.977287367","5464.12022894647"
"2022-03-12","ETHUSDT","85059.6026490067","260395.977287367","5464.12022894647"
"2022-03-13","ETHUSDT","83299.6688741723","260395.977287367","5464.12022894647"
"2022-03-14","ETHUSDT","85742.0529801325","260395.977287367","5464.12022894647"
"2022-03-15","ETHUSDT","86679.8013245034","260395.977287367","5464.12022894647"
"2022-03-16","ETHUSDT","91848.0132450332","260395.977287367","5464.12022894647"
"2022-03-17","ETHUSDT","93109.9337748345","260395.977287367","5464.12022894647"
"2022-03-18","ETHUSDT","97315.2317880796","260395.977287367","5464.12022894647"
"2022-03-19","ETHUSDT","97709.9337748346","260395.977287367","5464.12022894647"
"2022-03-20","ETHUSDT","94747.6821192054","260395.977287367","5464.12022894647"
"2022-03-21","ETHUSDT","95696.3576158942","260395.977287367","5464.12022894647"
"2022-03-22","ETHUSDT","98332.4503311259","260395.977287367","5464.12022894647"
"2022-03-23","ETHUSDT","100529.801324503","260395.977287367","5464.12022894647"
"2022-03-24","ETHUSDT","103005.298013245","260395.977287367","5464.12022894647"
"2022-03-25","ETHUSDT","102719.867549669","260395.977287367","5464.12022894647"
"2022-03-26","ETHUSDT","104139.072847682","260395.977287367","5464.12022894647"
"2022-03-27","ETHUSDT","109127.483443709","260395.977287367","5464.12022894647"
"2022-03-28","ETHUSDT","110361.589403974","260395.977287367","5464.12022894647"
"2022-03-29","ETHUSDT","112599.668874172","265546.48333748","5464.12022894647"
"2022-03-30","ETHUSDT","112112.251655629","264396.995691589","5464.12022894647"
"2022-03-31","ETHUSDT","108659.271523179","256253.750330619","5464.12022894647"
"2022-04-01","ETHUSDT","114410.927152318","269818.016912902","5464.12022894647"
"2022-04-02","ETHUSDT","114032.119205298","268924.66510115","5464.12022894647"
"2022-04-03","ETHUSDT","116619.536423841","275026.632808344","5464.12022894647"
"2022-04-04","ETHUSDT","116539.735099338","274838.435442407","5464.12022894647"
"2022-04-05","ETHUSDT","112814.238410596","266052.50779029","5464.12022894647"
"2022-04-06","ETHUSDT","104917.549668874","247429.558483768","5464.12022894647"
"2022-04-07","ETHUSDT","106860.59602649","252011.891028664","5464.12022894647"
"2022-04-08","ETHUSDT","105708.278145696","249294.352300607","5464.12022894647"
"2022-04-09","ETHUSDT","107899.668874172","254462.361295515","5464.12022894647"
"2022-04-10","ETHUSDT","106060.927152318","250126.012859624","5464.12022894647"
"2022-04-11","ETHUSDT","98666.8874172187","232688.472687927","5464.12022894647"
"2022-04-12","ETHUSDT","100253.642384106","236430.554752538","5464.12022894647"
"2022-04-13","ETHUSDT","103254.304635762","243507.088072553","5464.12022894647"
"2022-04-14","ETHUSDT","100065.562913907","235987.002454395","5464.12022894647"
"2022-04-15","ETHUSDT","100680.794701987","237437.918246559","5464.12022894647"
"2022-04-16","ETHUSDT","101301.324503311","238901.328469656","5464.12022894647"
"2022-04-17","ETHUSDT","98942.3841059604","233338.183096473","5464.12022894647"
"2022-04-18","ETHUSDT","101177.483443709","238609.271146583","5464.12022894647"
"2022-04-19","ETHUSDT","102707.61589404","242217.818980592","5464.12022894647"
"2022-04-20","ETHUSDT","101855.629139073","240208.558306084","5464.12022894647"
"2022-04-21","ETHUSDT","98794.0397350995","232988.339030333","5464.12022894647"
"2022-04-22","ETHUSDT","98092.3841059604","231333.607833565","5464.12022894647"
"2022-04-23","ETHUSDT","97120.1986754968","229040.87975725","5464.12022894647"
"2022-04-24","ETHUSDT","96721.8543046359","228101.454731431","5464.12022894647"
"2022-04-25","ETHUSDT","99556.9536423842","234787.53708477","5464.12022894647"
"2022-04-26","ETHUSDT","93035.4304635763","219407.673507449","5464.12022894647"
"2022-04-27","ETHUSDT","95660.927152318","225599.444936978","5464.12022894647"
"2022-04-28","ETHUSDT","97249.3377483445","225486.64521451","5464.12022894647"
"2022-04-29","ETHUSDT","93282.4503311259","225486.64521451","5464.12022894647"
"2022-04-30","ETHUSDT","90286.7549668875","225486.64521451","5464.12022894647"
"2022-05-01","ETHUSDT","93536.7549668875","225486.64521451","5464.12022894647"
"2022-05-02","ETHUSDT","94587.4172185432","225486.64521451","5464.12022894647"
"2022-05-03","ETHUSDT","92109.2715231789","225486.64521451","5464.12022894647"
"2022-05-04","ETHUSDT","97372.1854304637","225486.64521451","5464.12022894647"
"2022-05-05","ETHUSDT","90992.3841059604","225486.64521451","5464.12022894647"
"2022-05-06","ETHUSDT","89167.2185430465","225486.64521451","5464.12022894647"
"2022-05-07","ETHUSDT","87262.9139072849","225486.64521451","5464.12022894647"
"2022-05-08","ETHUSDT","83434.105960265","225486.64521451","5464.12022894647"
"2022-05-09","ETHUSDT","73793.046357616","225486.64521451","5464.12022894647"
"2022-05-10","ETHUSDT","77551.3245033114","225486.64521451","5739.67568582081"
